links.self.href	id	uid	name	long_name	description	featured_image	status	public	licence	published_at	created_at	updated_at
https://app.pollinatorhub.eu/api/v1/discovery/datasets/CNTRS2.0.0	2	CNTRS2.0.0	Countries	EUPH reference dataset containing names and codes of countries, aggregates and subdivisions of countries	The dataset contains standardised information on countries published by the Organization for Standardization (ISO) and the United Nations Statistics Division (UNSD).	null	publish	false	EU Pollinator Hub	2023-01-25T23:00:00.000000Z	2023-01-26T18:18:06.000000Z	2025-04-18T09:44:15.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/LNGGE20.0.0	20	LNGGE20.0.0	Language	Partial content of ISO 639 containing information on languages	This dataset contains information on languages spoken worldwide and contained in ISO 639-3:2007 (codes for the representation of names of languages — Part 3: Alpha-3 code for comprehensive coverage of languages) as well as official languages in the European Union, as defined in Regulation No 1 from 1958, as amended, determining the languages to be used by the European Economic Community.	null	publish	false	EU Pollinator Hub	2023-03-22T23:00:00.000000Z	2023-01-26T18:18:06.000000Z	2024-01-26T17:32:58.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/PHRFR27.0.0	27	PHRFR27.0.0	EUPH Reference licences	List of licences by which datasets are published on the EU Pollinator Hub	The dataset contains all licences for data hosted on the EUPH.	null	publish	false	CC BY 4.0	2023-03-27T22:00:00.000000Z	2023-09-01T08:53:39.000000Z	2024-02-01T14:25:03.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/CRTVS35.0.0	35	CRTVS35.0.0	Corteva S16-01455	Data on colony development in control groups of a field trial S16-01455	The data contains results on the assessment of colony development in control groups of a field trial near Pforzheim, Germany from May 2016 to March 2017. Hive weights were recorded daily at 11:30 from 2016-05-25 to 2016-10-12 and on 2017-03-24. Colony assessments (number of adult bees, number of brood cells, number of cells with food) were made at irregular intervals of 4 to 28 days from 2016-05-25 to 2016-10-12 and again after overwintering on 2017-03-27. Varroa infestation was measured once, in October 2016.	null	publish	false	CC BY-SA 4.0	2023-12-18T23:00:00.000000Z	2023-09-28T09:48:38.000000Z	2025-04-24T09:55:46.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/CRTVS53.0.0	53	CRTVS53.0.0	Corteva S18-00591	Data on colony development in control groups of a field trial S18-00591	The data contains results on the assessment of colony development in control groups of a field trial near Pforzheim, Germany from May 2018 to April 2019. Hive weights were recorded daily between 10:00 pm and 2:00 am at the next day from 2018-05-26 to 2018-10-30 and on 2019-04-19. Colony assessments (number of adult bees, number of brood cells, number of cells with food) were made at irregular intervals of 6 to 16 days from 2018-05-23 to 2018-10-31 and again after overwintering on 2019-04-09. Varroa infestation was measured once, in October 2018. Analyses on the presence of honey bee viruses were made on samples collected in June 2018 in 2 colonies.	null	publish	false	CC BY-SA 4.0	2023-12-19T23:00:00.000000Z	2023-10-10T14:20:51.000000Z	2025-04-24T09:55:38.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/HVSCL24.0.0	24	HVSCL24.0.0	Hive scales ONM	Hive scale data provided by members of the organisation Osservatorio Nazionale Miele	The dataset contains data from hive scales (hive weight, temperature, relative humidity, air pressure) from various apiaries in Italy. Data was provided by Osservatorio Nazionale Miele.	null	publish	false	CC BY-SA 4.0	2024-01-05T23:00:00.000000Z	2023-01-26T18:18:06.000000Z	2025-04-24T11:21:49.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/HVSCL21.0.0	21	HVSCL21.0.0	Hive scales Aspromiele	Hive scale data provided by members of the Italian beekeepers association Aspromiele	The dataset contains data from hive scales (hive weight, temperature, relative humidity, air pressure) from various apiaries in Piemonte, Italy. Data was provided by the association Aspromiele.	null	publish	false	CC BY-SA 4.0	2024-01-06T23:00:00.000000Z	2023-01-26T18:18:06.000000Z	2025-04-17T15:08:56.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/BSCLD32.0.0	32	BSCLD32.0.0	Boscalid time-to-death ecotox	Time-to-death approach to reveal chronic and cumulative toxicity of a fungicide for honeybees not revealed with the standard ten-day test	Raw data from a study about chronic toxicity of boscalid on honey bees available on figshare : https://figshare.com/s/865e87feaad34c095bbd and published in Scientific Reports : https://doi.org/10.1038/s41598-018-24746-9	https://app.pollinatorhub.eu/storage/providers/WzhSnY8Q1SVqXDSCpWQjTnwSyQtO1h-metaQm9zY2FsaWRfdGVzdC5qcGc=-.jpg	publish	false	CC BY 4.0	2024-01-23T23:00:00.000000Z	2023-09-20T12:49:38.000000Z	2024-07-05T12:05:16.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/SNITS17.0.0	17	SNITS17.0.0	SI Units		A selection of SI units provided by the Bureau International des Poids et Mesures (BIPM)	The dataset contains information from “The International System of Units (SI)”, a periodically updated brochure issued by from the International Bureau of Weights and Measures (BIPM), in which all the decisions and recommendations concerning units are collected.	null	publish	true	CC BY 4.0	2022-11-22T23:00:00.000000Z	2022-11-25T22:22:11.000000Z	2025-08-21T12:55:04.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/NUTSA3.0.0	3	NUTSA3.0.0	NUTS 2021	Nomenclature of territorial units for statistics, version 2021, valid from 1 January 2021	The dataset contains the nomenclature of territorial units for statistics (NUTS), a classification set up by Eurostat as a single, coherent system for dividing up the EU's territory in order to produce regional statistics for the Community. The legal basis for NUTS is Regulation (EC) No 1059/2003 of the European Parliament and of the Council of 26 May 2003 on the establishment of a common classification of territorial units for statistics (NUTS). 

NUTS version 2021 has been developed on the basis of the sixth amendment to the annexes, that was adopted by Commission Delegated Regulation 2019/1755, entered into force on 2019-08-08 and applied, with regard to the transmission of data to the Commission (Eurostat), from 2021-01-01. To meet the demand for statistics at a local level, Eurostat maintains a system of Local Administrative Units (LAUs) compatible with NUTS. In addition, since some data collections use postcodes to reference the geographic location, Eurostat has established a link between postcodes and NUTS level 3 codes in order to exploit information which originally is coded only by postcodes.	null	publish	true	Eurostat	2023-04-01T22:00:00.000000Z	2023-01-26T18:18:06.000000Z	2025-01-16T14:38:36.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/DVSNS29.0.0	29	DVSNS29.0.0	Division Austria	Division of the national territory of Austria according to different criteria	This dataset contains political, geographical and agricultural divisions of Austria outside the NUTS-system contained in dataset 000003 (nuts).	null	publish	true	CC BY 4.0	2023-04-13T22:00:00.000000Z	2023-09-01T08:57:49.000000Z	2025-08-21T07:40:40.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/HNYPR6.0.0	6	HNYPR6.0.0	Honey production Austria	Honey production in Austria	The dataset contains anonymised total annual honey yields of test colonies from the performance testing scheme of the Austrian honey bee breeding program. The locations of apiaries were aggregated by NUTS level 1 and HPG.	null	publish	true	CC BY-NC-SA 4.0	2023-04-16T22:00:00.000000Z	2023-01-26T18:18:06.000000Z	2025-08-18T10:15:51.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/VTCSS14.0.0	14	VTCSS14.0.0	Vetcases	Reports of notifiable diseases reported for Apis mellifera	This dataset contains data from various sources on the outbreak of notifiable diseases reported for honey bees (*Apis mellifera*) in Belgium and Austria from 2000 to 2022.	https://app.pollinatorhub.eu/storage/providers/01HHF30JC0SSJRQESPPWNJG3F5.png	publish	true	CC BY-NC-SA 4.0	2023-06-12T22:00:00.000000Z	2023-02-08T15:11:52.000000Z	2025-04-18T09:44:16.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/FSTTM9.0.0	9	FSTTM9.0.0	FAOSTAT Metadata	Definitions and standards used in FAOSTAT	Definitions and standards used in FAOSTAT	null	publish	true	CC BY-NC-SA 3.0 IGO	2023-06-13T22:00:00.000000Z	2022-12-19T07:27:59.000000Z	2025-08-21T12:20:54.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/PLLNT11.0.0	11	PLLNT11.0.0	Pollination	Data on economic dependence of pollination by animals in crops as well as observations of pollinators on plant species, inon economic dependence of pollination by animals in crops as well as observations of pollinators on plant species, in particular crops	The dataset contains data on economic dependence of pollination by animals in crops as well as observations of pollinators on plant species, in particular crops.	null	publish	true	CC BY 4.0	2023-07-25T22:00:00.000000Z	2022-10-19T09:17:18.000000Z	2025-08-21T06:38:46.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/BKPNG8.0.0	8	BKPNG8.0.0	Beekeeping Austria	Collection of data related to honey bees in Austria.	This dataset is a collection of data related to honey bees (*Apis mellifera* L.) in Austria.	null	publish	true	CC BY-NC-SA 4.0	2023-11-30T23:00:00.000000Z	2022-04-27T07:15:00.000000Z	2025-08-21T13:07:05.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/VRRMN16.0.0	16	VRRMN16.0.0	Varroa monitoring Austria	Results from a Varroa monitoring program in various apiaries in Austria	An eight-year survey of Varroa destructor infestation rates of western honey bee (*Apis mellifera*) colonies across Austria and the spatial dimension, temporal dimension and weather factors that
impact these infestation rates.	null	publish	true	CC BY-SA 4.0	2023-12-12T23:00:00.000000Z	2022-03-14T13:26:00.000000Z	2025-08-21T11:43:13.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/RGLTN80.0.0	80	RGLTN80.0.0	Regulation (EU) 2017/269	The Harmonised classification of substances according to Regulation (EU) 2017/269 amending Regulation (EC) No 1185/2009.	The dataset contains the harmonised classification of substances contained in annex III of Commission Regulation (EU) 2017/269 of 16 February 2017 amending Regulation (EC) No 1185/2009 of the European Parliament and of the Council concerning statistics on pesticides, as regards the list of active substances.	null	publish	true	CC BY 4.0	2023-12-13T23:00:00.000000Z	2023-12-13T16:37:54.000000Z	2025-08-21T06:35:16.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/CLNYD84.0.0	84	CLNYD84.0.0	Colony development autumn	Brood nest measurements in hives kept in various apiaries in the surroundings of Graz/in Austria during autumn 2013	The aim of this pilot-study was to assess differences in egg-laying activity of queens during the presumed transition of colonies to the winter brood pause and to determine whether there are location-related differences or differences with regard to the origin of the queens. For this purpose, the amount of brood was determined in 21 bee colonies with 21 queens obtained from 8 different breeders working in 2 different Carnica breeding programs at four different apiaries from 23 August 2013 to 25 October 2013 at intervals of approximately 21 days (depending on the weather conditions).	null	publish	true	CC BY-SA 4.0	2023-12-15T23:00:00.000000Z	2023-12-28T12:59:34.000000Z	2025-08-21T08:35:17.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/HVSCL51.0.0	51	HVSCL51.0.0	Hive scales Austria	A collection of hive scales data from Austria	The dataset contains data from hive scales (hive weight, temperature, relative humidity, precipitation, wind speed, wind direction) from various apiaries in Austria.	null	publish	true	CC BY-SA 4.0	2023-12-16T23:00:00.000000Z	2023-10-01T13:49:03.000000Z	2025-04-24T10:24:55.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/NNICA10.0.0	10	NNICA10.0.0	Neonic	Development of bee colonies in areas exposed to high levels of neonicotinoid pesticides.	This dataset contains data on regular assessemnts of colony development in colonies exposed to different levels of Clothinanidin as a consequence of corn production.	https://app.pollinatorhub.eu/storage/providers/01HKVSPH1FEYH2Q7SX156MVP3P.jpg	publish	true	CC BY-SA 4.0	2023-12-17T23:00:00.000000Z	2023-01-26T18:18:06.000000Z	2025-08-21T07:37:40.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/FSTTL93.0.0	93	FSTTL93.0.0	FAOSTAT LC Land Cover	FAOSTAT Land Cover	The FAOSTAT domain Land Cover under the Agri-Environmental Indicators section contains land cover information organized by the land cover classes of the international standard system for Environmental and Economic Accounting Central Framework (SEEA CF). The land cover information is compiled from publicly available Global Land Cover (GLC) maps: a) MODIS land cover types based on the Land Cover Classification System, LCCS (2001–2021); b) The European Spatial Agency (ESA) Climate Change Initiative (CCI) annual land cover maps (1992–2020) produced by the Université catholique de Louvain (UCL)-Geomatics and now under the European Copernicus Program; c) The annual land cover maps which were produced under the European Copernicus Global Land Service (CGLS) (CGLS land cover, containing discrete land cover categorization for the period 2015–2019), with spatial resolution 100m; and d) 4) The WorldCover maps of the European Space Agency —available for the years 2020 and 2021, produced at 10m resolution. 	null	publish	true	CC BY-NC-SA 3.0 IGO	2024-03-08T23:00:00.000000Z	2024-03-08T11:45:15.000000Z	2025-08-21T08:45:31.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/FSTTR94.0.0	94	FSTTR94.0.0	FAOSTAT RL Land Use	FAOSTAT data on land, inputs and sustainability - land use	The FAOSTAT Land Use domain contains data on forty-four categories of land use, irrigation and agricultural practices and five indicators relevant to monitor agriculture, forestry and fisheries activities at national, regional and global level. Data are available by country and year, with global coverage and annual updates.	null	publish	true	CC BY-NC-SA 3.0 IGO	2024-03-13T23:00:00.000000Z	2024-03-14T08:09:32.000000Z	2024-07-05T12:07:52.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/FSTTQ203.0.0	203	FSTTQ203.0.0	FAOSTAT QCL Beekeeping	FAOSTAT data on beekeeping livestock and products	This dataset contains beekeeping related data from the FAOSTAT crop and livestock statistics, which are recorded for 278 products, among which primary livestock products such as beeswax and honey and live animals such as the number for beehives for the whole world. It includes also the relevant metadata published by FAO.	null	publish	true	CC BY 4.0	2024-04-11T22:00:00.000000Z	2024-11-22T13:07:49.000000Z	2025-08-21T14:44:12.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/FSTTT205.0.0	205	FSTTT205.0.0	FAOSTAT TCL Trade	FAOSTAT data on the trade with beekeeping livestock and products	The food and agricultural trade dataset is collected, processed and disseminated by FAO according to the standard International Merchandise Trade Statistics (IMTS) Methodology. The data is mainly provided by UNSD, Eurostat, and other national authorities as needed. This source data is checked for outliers, trade partner data is used for non-reporting countries or missing cells, and data on food aid is added to take into account total cross-border trade flows. The trade database includes the following variables: export quantity, export value, import quantity, and import value. The trade database includes all food and agricultural products imported/exported annually by all the countries in the world. 	null	publish	true	CC BY 4.0	2024-04-12T22:00:00.000000Z	2024-12-02T09:56:00.000000Z	2025-08-21T15:09:24.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/FSTTT207.0.0	207	FSTTT207.0.0	FAOSTAT TM Trade Matrix	FAOSTAT data on the detailed trade matrix with beekeeping livestock and products	The food and agricultural trade dataset is collected, processed and disseminated by FAO according to the standard International Merchandise Trade Statistics (IMTS) Methodology. The data is mainly provided by UNSD, Eurostat, and other national authorities as needed. This source data is checked for outliers, trade partner data is used for non-reporting countries or missing cells, and data on food aid is added to take into account total cross-border trade flows. The trade database includes the following variables: export quantity, export value, import quantity, and import value. The trade database includes all food and agricultural products imported/exported annually by all the countries in the world.	null	publish	true	CC BY 4.0	2024-04-13T22:00:00.000000Z	2024-12-02T16:04:08.000000Z	2025-08-21T16:30:12.000000Z
https://app.pollinatorhub.eu/api/v1/discovery/datasets/DEPAB69.0.0	69	DEPAB69.0.0	DEPAB2	DEPAB2 : Pollen, pesticides and landscape	DEPAB2 : Pollen, pesticides and landscape

Honey bees pollen samples from Belgium, their species composition identified with classical microscopy, their pesticides content and the landscape around the apiaries in which they have been collected. Data from a project called DEPAB2 in Belgium.

Dataset related to the following paper : 
https://www.nature.com/articles/s41598-017-03467-5  
Simon-Delso, N., San Martin, G., Bruneau, E., Delcourt, C., Hautier, L., 2017. The challenges of predicting pesticide exposure of honey bees at landscape level. Scientific Reports 7, 3801. doi:10.1038/s41598-017-03467-5 


	https://app.pollinatorhub.eu/storage/providers/01HF8EWCN00RMW3DJ2RP6AC041.png	publish	true	CC BY 4.0	2024-04-24T13:42:00.000000Z	2023-11-15T02:48:47.000000Z	2025-08-21T08:21:49.000000Z
